지역명,모든면적,전용면적 102제곱미터초과,전용면적 60제곱미터이하,전용면적 60제곱미터초과 85제곱미터이하,전용면적 85제곱미터초과 102제곱미터이하
강원,2827.6666666666665,4052.6666666666665,2960.4166666666665,2790.5833333333335,2906.625
경기,4358.583333333333,4843.333333333333,4421.333333333333,4340.25,4924.5
경남,3079.0,3042.0,2892.9166666666665,3076.8333333333335,4320.166666666667
경북,2892.4166666666665,3079.3333333333335,3106.5,2887.4166666666665,3690.3333333333335
광주,3787.9166666666665,4411.416666666667,3892.25,3793.75,4610.0
대구,4589.416666666667,4934.0,4481.083333333333,4586.833333333333,4612.0
대전,3361.8333333333335,4500.0,3311.0,3361.9166666666665,
부산,4014.4166666666665,4132.75,3927.6666666666665,4027.25,4129.75
서울,8154.583333333333,9000.5,8389.333333333334,8136.916666666667,11441.416666666666
세종,3441.0,3677.5,,3395.0,3510.0
울산,3697.8333333333335,4530.0,3831.0833333333335,3715.0833333333335,
인천,4446.666666666667,4859.166666666667,4326.333333333333,4457.083333333333,4612.25
전남,2635.4166666666665,3538.0833333333335,2656.0,2624.9166666666665,3013.0
전북,2520.3333333333335,2675.8333333333335,2554.9166666666665,2519.3333333333335,2698.4166666666665
제주,4406.333333333333,3601.0,4255.0,4416.25,
충남,2683.6666666666665,2834.714285714286,2516.0,2710.5833333333335,3129.75
충북,2412.0,2756.5833333333335,2419.8333333333335,2409.75,2693.7
